"Result","U:0","U:1","U:2","T","T_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.71910e+01,3.09765e-02,9.42714e-06,5.54545e-24,3.42127e-08,3.42127e-08,1,4.16648e+00,4.16648e+00,9.55615e-01,0.00000e+00
-1.73877e+01,1.61447e-02,5.94076e-06,-6.39271e-24,2.81213e-08,2.81213e-08,1,4.20471e+00,4.20471e+00,9.55615e-01,0.00000e+00
-1.76361e+01,4.49439e-03,3.02490e-06,8.00238e-24,2.19227e-08,2.19227e-08,1,4.24293e+00,4.24293e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.28116e+00,4.28116e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.31938e+00,4.31938e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.35760e+00,4.35760e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.39583e+00,4.39583e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.43405e+00,4.43405e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.47228e+00,4.47228e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.51050e+00,4.51050e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.54873e+00,4.54873e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.58695e+00,4.58695e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.62518e+00,4.62518e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.66340e+00,4.66340e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.70163e+00,4.70163e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.73985e+00,4.73985e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.77808e+00,4.77808e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.81630e+00,4.81630e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.85452e+00,4.85452e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.89275e+00,4.89275e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.93097e+00,4.93097e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,4.96920e+00,4.96920e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,5.00742e+00,5.00742e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,5.04565e+00,5.04565e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,5.08387e+00,5.08387e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,5.12210e+00,5.12210e+00,9.55615e-01,0.00000e+00
