"Result","T","T_0","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.89406e+00,1.15114e-04,1.15114e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,2.29347e+00,2.29347e+00,9.55614e-01,0.00000e+00
-1.00590e+01,1.00368e-04,1.00368e-04,9.47155e-02,0.00000e+00,0.00000e+00,1,2.33170e+00,2.33170e+00,9.55614e-01,0.00000e+00
-1.02239e+01,8.56231e-05,8.56231e-05,9.47155e-02,0.00000e+00,0.00000e+00,1,2.36992e+00,2.36992e+00,9.55614e-01,0.00000e+00
-1.03888e+01,7.08778e-05,7.08778e-05,9.47155e-02,0.00000e+00,0.00000e+00,1,2.40815e+00,2.40815e+00,9.55614e-01,0.00000e+00
-1.05537e+01,5.61326e-05,5.61326e-05,9.47155e-02,0.00000e+00,0.00000e+00,1,2.44637e+00,2.44637e+00,9.55614e-01,0.00000e+00
-1.07186e+01,4.13873e-05,4.13873e-05,9.47155e-02,0.00000e+00,0.00000e+00,1,2.48460e+00,2.48460e+00,9.55614e-01,0.00000e+00
-1.08835e+01,2.66421e-05,2.66421e-05,9.47155e-02,0.00000e+00,0.00000e+00,1,2.52282e+00,2.52282e+00,9.55614e-01,0.00000e+00
-1.10484e+01,1.64972e-05,1.64972e-05,9.47155e-02,0.00000e+00,0.00000e+00,1,2.56105e+00,2.56105e+00,9.55614e-01,0.00000e+00
-1.12133e+01,1.55531e-05,1.55531e-05,9.47155e-02,0.00000e+00,0.00000e+00,1,2.59927e+00,2.59927e+00,9.55614e-01,0.00000e+00
-1.13782e+01,1.46089e-05,1.46089e-05,9.47155e-02,0.00000e+00,0.00000e+00,1,2.63749e+00,2.63749e+00,9.55614e-01,0.00000e+00
-1.15432e+01,1.36648e-05,1.36648e-05,9.47155e-02,0.00000e+00,0.00000e+00,1,2.67572e+00,2.67572e+00,9.55614e-01,0.00000e+00
-1.17081e+01,1.27206e-05,1.27206e-05,9.47155e-02,0.00000e+00,0.00000e+00,1,2.71394e+00,2.71394e+00,9.55614e-01,0.00000e+00
-1.18730e+01,1.17765e-05,1.17765e-05,9.47155e-02,0.00000e+00,0.00000e+00,1,2.75217e+00,2.75217e+00,9.55614e-01,0.00000e+00
-1.20379e+01,1.08324e-05,1.08324e-05,9.47155e-02,0.00000e+00,0.00000e+00,1,2.79039e+00,2.79039e+00,9.55614e-01,0.00000e+00
-1.22028e+01,9.88821e-06,9.88821e-06,9.47155e-02,0.00000e+00,0.00000e+00,1,2.82862e+00,2.82862e+00,9.55614e-01,0.00000e+00
-1.23678e+01,8.94406e-06,8.94406e-06,9.47155e-02,0.00000e+00,0.00000e+00,1,2.86684e+00,2.86684e+00,9.55614e-01,0.00000e+00
-1.25327e+01,7.99992e-06,7.99992e-06,9.47155e-02,0.00000e+00,0.00000e+00,1,2.90507e+00,2.90507e+00,9.55614e-01,0.00000e+00
-1.26976e+01,7.05577e-06,7.05577e-06,9.47155e-02,0.00000e+00,0.00000e+00,1,2.94329e+00,2.94329e+00,9.55614e-01,0.00000e+00
-1.28625e+01,6.11163e-06,6.11163e-06,9.47155e-02,0.00000e+00,0.00000e+00,1,2.98152e+00,2.98152e+00,9.55614e-01,0.00000e+00
-1.30274e+01,5.16749e-06,5.16749e-06,9.47155e-02,0.00000e+00,0.00000e+00,1,3.01974e+00,3.01974e+00,9.55614e-01,0.00000e+00
-1.31923e+01,4.22334e-06,4.22334e-06,9.47155e-02,0.00000e+00,0.00000e+00,1,3.05796e+00,3.05796e+00,9.55614e-01,0.00000e+00
-1.33573e+01,3.27920e-06,3.27920e-06,9.47155e-02,0.00000e+00,0.00000e+00,1,3.09619e+00,3.09619e+00,9.55614e-01,0.00000e+00
-1.35222e+01,2.33505e-06,2.33505e-06,9.47155e-02,0.00000e+00,0.00000e+00,1,3.13441e+00,3.13441e+00,9.55614e-01,0.00000e+00
-1.36871e+01,1.39091e-06,1.39091e-06,9.47155e-02,0.00000e+00,0.00000e+00,1,3.17264e+00,3.17264e+00,9.55614e-01,0.00000e+00
-1.38521e+01,1.03590e-06,1.03590e-06,9.47155e-02,0.00000e+00,0.00000e+00,1,3.21086e+00,3.21086e+00,9.55614e-01,0.00000e+00
-1.40170e+01,9.75458e-07,9.75458e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.24909e+00,3.24909e+00,9.55614e-01,0.00000e+00
-1.41820e+01,9.15017e-07,9.15017e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.28731e+00,3.28731e+00,9.55614e-01,0.00000e+00
