Time	inlet	inlet	outlet	outlet	solid	solid	 volume 	 average
57	-6.50516e-06	0.876232	6.50516e-06	0.876232	4.15011	3	0.174723	1
58	-6.48321e-06	0.873275	6.48321e-06	0.873275	4.15011	3	0.174723	1
59	-6.46121e-06	0.870311	6.46121e-06	0.870311	4.15011	3	0.174723	1
60	-6.43914e-06	0.867339	6.43914e-06	0.867339	4.15011	3	0.174723	1
61	-6.41702e-06	0.86436	6.41702e-06	0.86436	4.15011	3	0.174723	1
62	-6.39485e-06	0.861373	6.39485e-06	0.861373	4.15011	3	0.174723	1
63	-6.37263e-06	0.85838	6.37263e-06	0.85838	4.15011	3	0.174723	1
64	-6.35037e-06	0.855381	6.35037e-06	0.855381	4.15011	3	0.174723	1
65	-6.32805e-06	0.852375	6.32805e-06	0.852375	4.15011	3	0.174723	1
66	-6.3057e-06	0.849364	6.3057e-06	0.849364	4.15011	3	0.174723	1
67	-6.28329e-06	0.846346	6.28329e-06	0.846346	4.15011	3	0.174723	1
68	-6.26085e-06	0.843324	6.26085e-06	0.843324	4.15011	3	0.174723	1
69	-6.23837e-06	0.840296	6.23837e-06	0.840296	4.15011	3	0.174723	1
70	-6.21586e-06	0.837263	6.21586e-06	0.837263	4.15011	3	0.174723	1
71	-6.1933e-06	0.834225	6.1933e-06	0.834225	4.15011	3	0.174723	1
72	-6.17071e-06	0.831182	6.17071e-06	0.831182	4.15011	3	0.174723	1
73	-6.14809e-06	0.828135	6.14809e-06	0.828135	4.15011	3	0.174723	1
74	-6.12544e-06	0.825083	6.12544e-06	0.825083	4.15011	3	0.174723	1
75	-6.10275e-06	0.822028	6.10275e-06	0.822028	4.15011	3	0.174723	1
76	-6.08004e-06	0.818969	6.08004e-06	0.818969	4.15011	3	0.174723	1
77	-6.0573e-06	0.815905	6.0573e-06	0.815905	4.15011	3	0.174723	1
78	-6.03453e-06	0.812839	6.03453e-06	0.812839	4.15011	3	0.174723	1
79	-6.01174e-06	0.809769	6.01174e-06	0.809769	4.15011	3	0.174723	1
80	-5.98892e-06	0.806695	5.98892e-06	0.806695	4.15011	3	0.174723	1
81	-5.96608e-06	0.803619	5.96608e-06	0.803619	4.15011	3	0.174723	1
82	-5.94322e-06	0.800539	5.94322e-06	0.800539	4.15011	3	0.174723	1
83	-5.92033e-06	0.797456	5.92033e-06	0.797456	4.15011	3	0.174723	1
84	-5.89743e-06	0.794371	5.89743e-06	0.794371	4.15011	3	0.174723	1
85	-5.87451e-06	0.791284	5.87451e-06	0.791284	4.15011	3	0.174723	1
86	-5.85156e-06	0.788193	5.85156e-06	0.788193	4.15011	3	0.174723	1
87	-5.82861e-06	0.785101	5.82861e-06	0.785101	4.15011	3	0.174723	1
88	-5.80563e-06	0.782006	5.80563e-06	0.782006	4.15011	3	0.174723	1
89	-5.78264e-06	0.778909	5.78264e-06	0.778909	4.15011	3	0.174723	1
90	-5.75963e-06	0.77581	5.75963e-06	0.77581	4.15011	3	0.174723	1
91	-5.73661e-06	0.772709	5.73661e-06	0.772709	4.15011	3	0.174723	1
92	-5.71358e-06	0.769607	5.71358e-06	0.769607	4.15011	3	0.174723	1
93	-5.69053e-06	0.766503	5.69053e-06	0.766503	4.15011	3	0.174723	1
94	-5.66747e-06	0.763397	5.66747e-06	0.763397	4.15011	3	0.174723	1
95	-5.64441e-06	0.76029	5.64441e-06	0.76029	4.15011	3	0.174723	1
96	-5.62133e-06	0.757181	5.62133e-06	0.757181	4.15011	3	0.174723	1
97	-5.59824e-06	0.754071	5.59824e-06	0.754071	4.15011	3	0.174723	1
98	-5.57514e-06	0.75096	5.57514e-06	0.75096	4.15011	3	0.174723	1
99	-5.55204e-06	0.747848	5.55204e-06	0.747848	4.15011	3	0.174723	1
100	-5.52893e-06	0.744735	5.52893e-06	0.744735	4.15011	3	0.174723	1
101	-5.50603e-06	0.741651	5.50603e-06	0.741651	4.15011	3	0.174723	1
102	-5.48315e-06	0.738568	5.48315e-06	0.738568	4.15011	3	0.174723	1
103	-5.46026e-06	0.735486	5.46026e-06	0.735486	4.15011	3	0.174723	1
104	-5.43738e-06	0.732404	5.43738e-06	0.732404	4.15011	3	0.174723	1
105	-5.41451e-06	0.729323	5.41451e-06	0.729323	4.15011	3	0.174723	1
106	-5.39164e-06	0.726242	5.39164e-06	0.726242	4.15011	3	0.174723	1
107	-5.36877e-06	0.723162	5.36877e-06	0.723162	4.15011	3	0.174723	1
108	-5.34591e-06	0.720083	5.34591e-06	0.720083	4.15011	3	0.174723	1
109	-5.32306e-06	0.717005	5.32306e-06	0.717005	4.15011	3	0.174723	1
110	-5.30022e-06	0.713928	5.30022e-06	0.713928	4.15011	3	0.174723	1
111	-5.27738e-06	0.710852	5.27738e-06	0.710852	4.15011	3	0.174723	1
112	-5.25455e-06	0.707777	5.25455e-06	0.707777	4.15011	3	0.174723	1
113	-5.23173e-06	0.704703	5.23173e-06	0.704703	4.15011	3	0.174723	1
114	-5.20891e-06	0.70163	5.20891e-06	0.70163	4.15011	3	0.174723	1
115	-5.18611e-06	0.698558	5.18611e-06	0.698558	4.15011	3	0.174723	1
116	-5.16331e-06	0.695487	5.16331e-06	0.695487	4.15011	3	0.174723	1
117	-5.14053e-06	0.692418	5.14053e-06	0.692418	4.15011	3	0.174723	1
118	-5.11775e-06	0.68935	5.11775e-06	0.68935	4.15011	3	0.174723	1
119	-5.09498e-06	0.686283	5.09498e-06	0.686283	4.15011	3	0.174723	1
120	-5.0723e-06	0.683228	5.0723e-06	0.683228	4.15011	3	0.174723	1
121	-5.0499e-06	0.680211	5.0499e-06	0.680211	4.15011	3	0.174723	1
122	-5.02753e-06	0.677197	5.02753e-06	0.677197	4.15011	3	0.174723	1
123	-5.00517e-06	0.674186	5.00517e-06	0.674186	4.15011	3	0.174723	1
124	-4.98284e-06	0.671178	4.98284e-06	0.671178	4.15011	3	0.174723	1
125	-4.96053e-06	0.668173	4.96053e-06	0.668173	4.15011	3	0.174723	1
126	-4.93824e-06	0.66517	4.93824e-06	0.66517	4.15011	3	0.174723	1
127	-4.91596e-06	0.66217	4.91596e-06	0.66217	4.15011	3	0.174723	1
128	-4.89371e-06	0.659173	4.89371e-06	0.659173	4.15011	3	0.174723	1
129	-4.87148e-06	0.656178	4.87148e-06	0.656178	4.15011	3	0.174723	1
130	-4.84927e-06	0.653186	4.84927e-06	0.653186	4.15011	3	0.174723	1
131	-4.82708e-06	0.650197	4.82708e-06	0.650197	4.15011	3	0.174723	1
132	-4.80491e-06	0.647211	4.80491e-06	0.647211	4.15011	3	0.174723	1
133	-4.78276e-06	0.644227	4.78276e-06	0.644227	4.15011	3	0.174723	1
134	-4.76063e-06	0.641247	4.76063e-06	0.641247	4.15011	3	0.174723	1
135	-4.73852e-06	0.638269	4.73852e-06	0.638269	4.15011	3	0.174723	1
136	-4.71644e-06	0.635294	4.71644e-06	0.635294	4.15011	3	0.174723	1
137	-4.69437e-06	0.632322	4.69437e-06	0.632322	4.15011	3	0.174723	1
138	-4.67233e-06	0.629353	4.67233e-06	0.629353	4.15011	3	0.174723	1
139	-4.65035e-06	0.626392	4.65035e-06	0.626392	4.15011	3	0.174723	1
140	-4.62848e-06	0.623447	4.62848e-06	0.623447	4.15011	3	0.174723	1
141	-4.60664e-06	0.620504	4.60664e-06	0.620504	4.15011	3	0.174723	1
142	-4.5851e-06	0.617603	4.5851e-06	0.617603	4.15011	3	0.174723	1
143	-4.56364e-06	0.614712	4.56364e-06	0.614712	4.15011	3	0.174723	1
144	-4.54221e-06	0.611826	4.54221e-06	0.611826	4.15011	3	0.174723	1
145	-4.52082e-06	0.608944	4.52082e-06	0.608944	4.15011	3	0.174723	1
146	-4.49945e-06	0.606067	4.49945e-06	0.606067	4.15011	3	0.174723	1
147	-4.47812e-06	0.603193	4.47812e-06	0.603193	4.15011	3	0.174723	1
148	-4.45682e-06	0.600324	4.45682e-06	0.600324	4.15011	3	0.174723	1
149	-4.43555e-06	0.59746	4.43555e-06	0.59746	4.15011	3	0.174723	1
150	-4.41432e-06	0.594599	4.41432e-06	0.594599	4.15011	3	0.174723	1
151	-4.39311e-06	0.591743	4.39311e-06	0.591743	4.15011	3	0.174723	1
152	-4.37194e-06	0.588891	4.37194e-06	0.588891	4.15011	3	0.174723	1
153	-4.3508e-06	0.586043	4.3508e-06	0.586043	4.15011	3	0.174723	1
154	-4.32968e-06	0.583199	4.32968e-06	0.583199	4.15011	3	0.174723	1
155	-4.3086e-06	0.580359	4.3086e-06	0.580359	4.15011	3	0.174723	1
156	-4.28754e-06	0.577523	4.28754e-06	0.577523	4.15011	3	0.174723	1
157	-4.26651e-06	0.57469	4.26651e-06	0.57469	4.15011	3	0.174723	1
158	-4.24552e-06	0.571862	4.24552e-06	0.571862	4.15011	3	0.174723	1
159	-4.22455e-06	0.569038	4.22455e-06	0.569038	4.15011	3	0.174723	1
