"alpha","alpha_0","mu","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.68078,0.6799,-0.014684,1,0.321,0.5,0.321,0
0.68647,0.68558,-0.014835,1,0.322,0.5,0.322,0
0.69216,0.69127,-0.014986,1,0.323,0.5,0.323,0
0.69785,0.69696,-0.015137,1,0.324,0.5,0.324,0
0.70354,0.70264,-0.015288,1,0.325,0.5,0.325,0
0.70923,0.70833,-0.015439,1,0.326,0.5,0.326,0
0.71492,0.71401,-0.01559,1,0.327,0.5,0.327,0
0.72061,0.7197,-0.015741,1,0.328,0.5,0.328,0
0.7263,0.72538,-0.015893,1,0.329,0.5,0.329,0
0.73199,0.73107,-0.016044,1,0.33,0.5,0.33,0
0.73673,0.73581,-0.016181,1,0.331,0.5,0.331,0
0.74148,0.74055,-0.016318,1,0.332,0.5,0.332,0
0.74622,0.7453,-0.016456,1,0.333,0.5,0.333,0
0.75097,0.75004,-0.016593,1,0.334,0.5,0.334,0
0.75571,0.75478,-0.01673,1,0.335,0.5,0.335,0
0.76046,0.75952,-0.016867,1,0.336,0.5,0.336,0
0.7652,0.76427,-0.017005,1,0.337,0.5,0.337,0
0.76995,0.76901,-0.017142,1,0.338,0.5,0.338,0
0.77469,0.77375,-0.017279,1,0.339,0.5,0.339,0
0.77944,0.7785,-0.017416,1,0.34,0.5,0.34,0
0.78335,0.7824,-0.017541,1,0.341,0.5,0.341,0
0.78726,0.78631,-0.017666,1,0.342,0.5,0.342,0
0.79117,0.79022,-0.01779,1,0.343,0.5,0.343,0
0.79508,0.79413,-0.017915,1,0.344,0.5,0.344,0
0.79899,0.79804,-0.018039,1,0.345,0.5,0.345,0
0.8029,0.80195,-0.018164,1,0.346,0.5,0.346,0
0.80681,0.80586,-0.018289,1,0.347,0.5,0.347,0
0.81073,0.80977,-0.018413,1,0.348,0.5,0.348,0
0.81464,0.81368,-0.018538,1,0.349,0.5,0.349,0
0.81855,0.81759,-0.018662,1,0.35,0.5,0.35,0
0.82174,0.82078,-0.018775,1,0.351,0.5,0.351,0
0.82493,0.82397,-0.018888,1,0.352,0.5,0.352,0
0.82812,0.82716,-0.019001,1,0.353,0.5,0.353,0
0.83131,0.83035,-0.019114,1,0.354,0.5,0.354,0
0.83451,0.83354,-0.019227,1,0.355,0.5,0.355,0
0.8377,0.83673,-0.01934,1,0.356,0.5,0.356,0
0.84089,0.83992,-0.019453,1,0.357,0.5,0.357,0
0.84408,0.84311,-0.019566,1,0.358,0.5,0.358,0
0.84727,0.84631,-0.019679,1,0.359,0.5,0.359,0
0.85046,0.8495,-0.019792,1,0.36,0.5,0.36,0
0.85305,0.85208,-0.019895,1,0.361,0.5,0.361,0
0.85563,0.85466,-0.019997,1,0.362,0.5,0.362,0
0.85821,0.85725,-0.0201,1,0.363,0.5,0.363,0
